tvdbId,seriesId,seasonNumber,episodeNumber,absoluteNumber,name,writers,directors,aired,runtime,year,finaleType,overview,image,productionCode,lastUpdated,contentRatings,remoteIds
3381461,194031,1,11,11,Weekend at Mort's,Scott Jacobson,Anthony Chun,2011-05-08,21,2011,,Bob and his family are forced to spend the weekend at Mort the Mortician's while the restaurant is being de-molded. Linda and Bob double date with Mort and a female mortician he meets online while Tina babysits Gene and Louise in Mort’s crematorium.,https://artworks.thetvdb.com/banners/v4/episode/3381461/screencap/6079712c94470.jpg,1ASA11,2024-11-07 18:50:46,TV-14,IMDB:tt1905230
3381471,194031,1,12,12,Lobsterfest,Aron Abrams|Greg Thompson,Boohwan Lim,2011-05-15,22,2011,,"After the town's annual Lobsterfest is cancelled by a storm, Bob defiantly opens his doors for a festive celebration. When he wakes the next morning, Bob finds the restaurant in disarray and that the town has spurned him, but Bob won't let that deter him from further involvement in the celebratory weekend.",https://artworks.thetvdb.com/banners/v4/episode/3381471/screencap/6079714de72af.jpg,1ASA13,2024-12-12 10:38:58,TV-14,IMDB:tt1919433
3381481,194031,1,13,13,Torpedo,Dan Fybel|Rich Rinaldi,Kyounghee Lim,2011-05-22,22,2011,season,"Bob's hero, a washed-up baseball player named Torpedo Jones, starts pitching for the local minor league team. Torpedo befriends Bob, but the dark underbelly of minor league baseball threatens to corrupt the Belchers.",https://artworks.thetvdb.com/banners/v4/episode/3381481/screencap/60797163dda85.jpg,1ASA12,2024-11-07 18:56:22,TV-14,IMDB:tt1928417
4104614,194031,2,1,14,The Belchies,Jon Schroeder,Boohwan Lim|Kyounghee Lim,2012-03-11,22,2012,,The kids hunt for treasure in an abandoned taffy factory and Bob and Linda must find them before the factory’s scheduled demolition.,https://artworks.thetvdb.com/banners/episodes/194031/4104614.jpg,2ASA01,2023-05-04 19:20:44,TV-14,IMDB:tt2273811
4284893,194031,2,2,15,Bob Day Afternoon,Dan Fybel|Rich Rinaldi,Wesley Archer,2012-03-18,22,2012,,"A bank robber holds up a bank across the street from Bob’s Burgers. When the robbery goes awry, Bob finds himself at the center of a hostage crisis.",https://artworks.thetvdb.com/banners/episodes/194031/4284893.jpg,2ASA02,2023-05-04 19:22:27,TV-14,IMDB:tt2020389
4284894,194031,2,3,16,Synchronized Swimming,Holly Schlesinger,Anthony Chun,2012-03-25,21,2012,,"The kids con their way out of gym class with a bogus synchronized swimming independent study. Meanwhile, Bob welcomes a new soft serve ice cream machine to the restaurant.",https://artworks.thetvdb.com/banners/episodes/194031/4284894.jpg,2ASA03,2023-05-04 19:23:16,TV-14,IMDB:tt2303131
4284895,194031,2,4,17,Burgerboss,Scott Jacobson,Jennifer Coyle,2012-04-01,22,2012,,"Bob becomes obsessed with an old-school burger-flipping video game after Jimmy Pesto gets the high score and writes ""BOB SUX"" on the leader board.",https://artworks.thetvdb.com/banners/episodes/194031/4284895.jpg,2ASA04,2023-05-04 19:23:56,TV-14,IMDB:tt2317497
4306750,194031,2,5,18,Food Truckin',Lizzie Molyneux|Wendy Molyneux,Bernard Derriman,2012-04-15,21,2012,,"The Belchers beg Bob to buy a food truck to compete against the ones that are stealing his customers. When the ""Lolla-Pa-Foods-A-Festival"" comes up, the Belchers bring the truck and the kids decide to cause mischief. Unfortunately, this causes a riot to rise from the other food truckers.",https://artworks.thetvdb.com/banners/episodes/194031/4306750.jpg,2ASA05,2023-05-04 19:25:06,TV-14,IMDB:tt2340209
4308992,194031,2,6,19,Dr. Yap,Steven Davis|Kelvin Yu,Anthony Chun,2012-04-29,22,2012,,"While Bob is medicated, he mistakes Linda's sister, Gayle, for his wife and kisses her. After she falls for him, Bob seeks help from Dr. Yap.",https://artworks.thetvdb.com/banners/episodes/194031/4308992.jpg,2ASA07,2023-05-04 19:25:41,TV-14,IMDB:tt2366089
4308993,194031,2,7,20,Moody Foodie,Steven Davis|Kelvin Yu,Kyounghee Lim|Boohwan Lim,2012-05-06,21,2012,,The restaurant receives a negative review from a vicious food critic.,https://artworks.thetvdb.com/banners/episodes/194031/4308993.jpg,2ASA06,2023-05-04 19:26:30,TV-14,IMDB:tt2376081
